y_lower_0_to_1,y_upper_2_to_1,u_lower,u_upper_inverted,v_lower,v_upper_inverted,pressure_lower,pressure_upper_inverted,temp_lower,temp_upper_inverted,scalar_1_lower,scalar_1_upper_inverted,scalar_2_lower,scalar_2_upper_inverted
1.2000000000000000e-01,1.8799999999999999e+00,8.7939898288412133e-01,8.7939938017581754e-01,-8.5364331562332789e-11,8.0089819584671585e-11,-5.6832581887160863e-10,2.2748318775263348e-09,0.0000000000000000e+00,0.0000000000000000e+00,5.2027424971421536e-03,5.2027424495820988e-03,3.1945727972022492e-01,3.1945728041099475e-01
1.2250000000000000e-01,1.8774999999999999e+00,8.8175296130114933e-01,8.8175321493257597e-01,-4.0119451809844470e-11,8.3929122611264809e-11,-5.3636056949342255e-10,2.3874401793607442e-09,0.0000000000000000e+00,0.0000000000000000e+00,5.1875880262601988e-03,5.1875879625939677e-03,3.2616984129622123e-01,3.2616983861125165e-01
1.2500000000000000e-01,1.8750000000000000e+00,8.8410693971817733e-01,8.8410704968933440e-01,5.1254279426438488e-12,8.7768425637858021e-11,-5.0439532011523647e-10,2.5000484811951537e-09,0.0000000000000000e+00,0.0000000000000000e+00,5.1724335553782448e-03,5.1724334756058374e-03,3.3288240287221754e-01,3.3288239681150861e-01
1.2750000000000000e-01,1.8725000000000001e+00,8.8642141006818753e-01,8.8642141047820910e-01,4.6133674717096148e-11,9.0649076308599362e-11,-4.7823230652507573e-10,2.6079491832351918e-09,0.0000000000000000e+00,0.0000000000000000e+00,5.1572750118499726e-03,5.1572749318281475e-03,3.3959463583003519e-01,3.3959462846292171e-01
1.3000000000000000e-01,1.8700000000000001e+00,8.8858392631428296e-01,8.8858394831368503e-01,7.0847179268333319e-11,8.9842602533756229e-11,-4.7438558442732015e-10,2.6977437322199531e-09,0.0000000000000000e+00,0.0000000000000000e+00,5.1421008042974031e-03,5.1421007850136922e-03,3.4630560487178108e-01,3.4630560415724337e-01
1.3250000000000001e-01,1.8674999999999999e+00,8.9074644256037838e-01,8.9074648614916119e-01,9.5560683819570490e-11,8.9036128758913020e-11,-4.7053886232956446e-10,2.7875382812047222e-09,0.0000000000000000e+00,0.0000000000000000e+00,5.1269265967448328e-03,5.1269266381992360e-03,3.5301657391352698e-01,3.5301657985156565e-01
1.3500000000000001e-01,1.8650000000000000e+00,8.9290895880647381e-01,8.9290902398463712e-01,1.2027418837080767e-10,8.8229654984069874e-11,-4.6669214023180877e-10,2.8773328301894835e-09,0.0000000000000000e+00,0.0000000000000000e+00,5.1117523891922633e-03,5.1117524913847807e-03,3.5972754295527287e-01,3.5972755554588737e-01
1.3750000000000001e-01,1.8625000000000000e+00,8.9507147505256923e-01,8.9507156182011316e-01,1.4498769292204486e-10,8.7423181209226742e-11,-4.6284541813405314e-10,2.9671273791742448e-09,0.0000000000000000e+00,0.0000000000000000e+00,5.0965781816396929e-03,5.0965783445703254e-03,3.6643851199701877e-01,3.6643853124020903e-01
1.4000000000000001e-01,1.8599999999999999e+00,8.9707980656080211e-01,8.9707983067738994e-01,1.1181578427827296e-10,7.6934204352004561e-11,-4.7705300542220898e-10,3.0354494897529008e-09,0.0000000000000000e+00,0.0000000000000000e+00,5.0814040910668263e-03,5.0814042226131175e-03,3.7315060328397220e-01,3.7315061918668996e-01
1.4250000000000002e-01,1.8574999999999999e+00,8.9908394826637561e-01,8.9908390744286759e-01,7.7070902449854540e-11,6.6182115997978970e-11,-4.9175119894367759e-10,3.1031881101574703e-09,0.0000000000000000e+00,0.0000000000000000e+00,5.0662300036727554e-03,5.0662301013313787e-03,3.7986272506671931e-01,3.7986273735741372e-01
1.4499999999999999e-01,1.8550000000000000e+00,9.0108808997194911e-01,9.0108798420834524e-01,4.2326020621436522e-11,5.5430027643953385e-11,-5.0644939246514600e-10,3.1709267305620399e-09,0.0000000000000000e+00,0.0000000000000000e+00,5.0510559162786853e-03,5.0510559800496409e-03,3.8657484684946630e-01,3.8657485552813747e-01
1.4749999999999999e-01,1.8525000000000000e+00,9.0309223167752273e-01,9.0309206097382289e-01,7.5811387930180910e-12,4.4677939289927800e-11,-5.2114758598661451e-10,3.2386653509666095e-09,0.0000000000000000e+00,0.0000000000000000e+00,5.0358818288846145e-03,5.0358818587679030e-03,3.9328696863221341e-01,3.9328697369886123e-01
1.4999999999999999e-01,1.8500000000000001e+00,9.0499280092765466e-01,9.0499260578812146e-01,-8.3993455686643791e-13,3.7244243921855116e-11,-5.2384010988302642e-10,3.2746426090039071e-09,0.0000000000000000e+00,0.0000000000000000e+00,5.0207203928539224e-03,5.0207204094814637e-03,4.0000226383865611e-01,4.0000226581445297e-01
1.5250000000000000e-01,1.8474999999999999e+00,9.0685711981838213e-01,9.0685691441950755e-01,-4.7674939264142754e-14,3.0971986098866029e-11,-5.2233064941066845e-10,3.2995033902126558e-09,0.0000000000000000e+00,0.0000000000000000e+00,5.0055633848004131e-03,5.0055633953933788e-03,4.0671866974339227e-01,4.0671866881074914e-01
1.5500000000000000e-01,1.8450000000000000e+00,9.0872143870910960e-01,9.0872122305089342e-01,7.4458467833815251e-13,2.4699728275877505e-11,-5.2082118893831037e-10,3.3243641714214024e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.9904063767469038e-03,4.9904063813052948e-03,4.1343507564812843e-01,4.1343507180704464e-01
1.5750000000000000e-01,1.8425000000000000e+00,9.1058575759983706e-01,9.1058553168227929e-01,1.5368442959404476e-12,1.8427470452888980e-11,-5.1931172846595239e-10,3.3492249526301486e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.9752493686933937e-03,4.9752493672172108e-03,4.2015148155286458e-01,4.2015147480334020e-01
1.6000000000000000e-01,1.8400000000000001e+00,9.1239005963208453e-01,9.1238996139448125e-01,-8.4827451733345316e-13,8.3715392186526539e-12,-5.2023424479982732e-10,3.3614647880506994e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.9601051807831153e-03,4.9601051486323376e-03,4.2687127388087331e-01,4.2687125791058234e-01
1.6250000000000001e-01,1.8374999999999999e+00,9.1413622033267949e-01,9.1413638340372405e-01,-6.3114786855186146e-12,-5.3498256327321143e-12,-5.2351273866474013e-10,3.3614780822389318e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.9449734123865920e-03,4.9449733256912006e-03,4.3359434680642728e-01,4.3359431550030458e-01
1.6500000000000001e-01,1.8350000000000000e+00,9.1588238103327446e-01,9.1588280541296663e-01,-1.1774682853703776e-11,-1.9071190484115664e-11,-5.2679123252965304e-10,3.3614913764271647e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.9298416439900678e-03,4.9298415027500637e-03,4.4031741973198130e-01,4.4031737309002628e-01
