y_over_delta,u,u_over_ubulk
8.0000000000000002e-02,8.3252262946602262e-01,8.3378148706677557e-01
8.2500000000000004e-02,8.3616155585823249e-01,8.3742591588016335e-01
8.5000000000000006e-02,8.3973872825604301e-01,8.4100849732092686e-01
8.7500000000000008e-02,8.4292875061204331e-01,8.4420334331024038e-01
8.9999999999999997e-02,8.4611877296804361e-01,8.4739818929955379e-01
9.2499999999999999e-02,8.4930879532404391e-01,8.5059303528886721e-01
9.5000000000000001e-02,8.5249881768004421e-01,8.5378788127818062e-01
9.7500000000000003e-02,8.5537689051126242e-01,8.5667030604378580e-01
1.0000000000000001e-01,8.5822212655039831e-01,8.5951984436479012e-01
1.0250000000000001e-01,8.6106736258953420e-01,8.6236938268579444e-01
1.0500000000000000e-01,8.6391259862866998e-01,8.6521892100679865e-01
1.0750000000000000e-01,8.6657581830769526e-01,8.6788616774072513e-01
1.1000000000000000e-01,8.6915017960619401e-01,8.7046442173135385e-01
1.1250000000000000e-01,8.7172454090469276e-01,8.7304267572198246e-01
1.1500000000000000e-01,8.7429890220319162e-01,8.7562092971261130e-01
1.1750000000000001e-01,8.7677703709786625e-01,8.7810281179545524e-01
1.2000000000000000e-01,8.7913228044066916e-01,8.8046161650209231e-01
1.2250000000000000e-01,8.8148752378347195e-01,8.8282042120872928e-01
1.2500000000000000e-01,8.8384276712627474e-01,8.8517922591536624e-01
1.2750000000000000e-01,8.8615853893463359e-01,8.8749849940264580e-01
1.3000000000000000e-01,8.8832249714897693e-01,8.8966572973855007e-01
1.3250000000000001e-01,8.9048645536332016e-01,8.9183296007445423e-01
1.3500000000000001e-01,8.9265041357766339e-01,8.9400019041035839e-01
1.3750000000000001e-01,8.9481437179200674e-01,8.9616742074626266e-01
1.4000000000000001e-01,8.9682401131673295e-01,8.9818009904723461e-01
1.4250000000000002e-01,8.9882945739880671e-01,9.0018857756464876e-01
1.4499999999999999e-01,9.0083490348088036e-01,9.0219705608206291e-01
1.4749999999999999e-01,9.0284034956295400e-01,9.0420553459947706e-01
1.4999999999999999e-01,9.0474211472271526e-01,9.0611017541863959e-01
1.5250000000000000e-01,9.0660759155966719e-01,9.0797847304341406e-01
1.5500000000000000e-01,9.0847306839661912e-01,9.0984677066818864e-01
1.5750000000000000e-01,9.1033854523357105e-01,9.1171506829296312e-01
1.6000000000000000e-01,9.1214446759936252e-01,9.1352372139425186e-01
1.6250000000000001e-01,9.1389269657121730e-01,9.1527459386341370e-01
1.6500000000000001e-01,9.1564092554307219e-01,9.1702546633257565e-01
1.6750000000000001e-01,9.1738915451492697e-01,9.1877633880173748e-01
1.7000000000000001e-01,9.1910775173275949e-01,9.2049753471069717e-01
1.7250000000000001e-01,9.2074828067557202e-01,9.2214054429758563e-01
1.7500000000000002e-01,9.2238880961838432e-01,9.2378355388447397e-01
1.7749999999999999e-01,9.2402933856119662e-01,9.2542656347136221e-01
1.7999999999999999e-01,9.2566597286802199e-01,9.2706567253318395e-01
1.8250000000000000e-01,9.2721449103564102e-01,9.2861653221537110e-01
1.8500000000000000e-01,9.2876300920326005e-01,9.3016739189755826e-01
1.8750000000000000e-01,9.3031152737087908e-01,9.3171825157974542e-01
1.9000000000000000e-01,9.3186004553849799e-01,9.3326911126193257e-01
1.9250000000000000e-01,9.3333860423529469e-01,9.3474990568757044e-01
1.9500000000000001e-01,9.3480070188013287e-01,9.3621421417049044e-01
1.9750000000000001e-01,9.3626279952497127e-01,9.3767852265341067e-01
2.0000000000000001e-01,9.3772489716980945e-01,9.3914283113633079e-01
2.0250000000000001e-01,9.3914498944805169e-01,9.4056507073633333e-01
2.0500000000000002e-01,9.4053425209943453e-01,9.4195643409199281e-01
2.0750000000000002e-01,9.4192351475081737e-01,9.4334779744765240e-01
2.0999999999999999e-01,9.4331277740220010e-01,9.4473916080331177e-01
2.1249999999999999e-01,9.4467803954940166e-01,9.4610648736362379e-01
2.1500000000000000e-01,9.4599751611939609e-01,9.4742795911435007e-01
2.1750000000000000e-01,9.4731699268939051e-01,9.4874943086507635e-01
2.2000000000000000e-01,9.4863646925938494e-01,9.5007090261580263e-01
2.2250000000000000e-01,9.4994919068929051e-01,9.5138560901199165e-01
2.2500000000000001e-01,9.5120787099848625e-01,9.5264619257188365e-01
2.2750000000000001e-01,9.5246655130768199e-01,9.5390677613177555e-01
