y_over_delta,u,v,pressure,temp,scalar_1,scalar_2,u_over_ubulk,y_plus,u_plus
2.5000000000000001e-02,6.9450560950609819e-01,4.8960523045161557e-10,-3.7856164057534772e-09,0.0000000000000000e+00,5.6849237170886564e-03,6.2576192381292042e-02,6.9555662663977469e-01,2.7900683984879873e+01,6.2230159830711443e+01
2.7500000000000000e-02,7.0652419119022292e-01,4.4912799431291270e-10,-3.6741848759264916e-09,0.0000000000000000e+00,5.6789290372507642e-03,6.9466442443177456e-02,7.0759339642072627e-01,3.0690752383367855e+01,6.3307067272356775e+01
2.9999999999999999e-02,7.1854277287434787e-01,4.0865075817420984e-10,-3.5627533460995069e-09,0.0000000000000000e+00,5.6729343574128729e-03,7.6356692505062856e-02,7.1963016620167808e-01,3.3480820781855840e+01,6.4383974714002122e+01
3.2500000000000001e-02,7.2920795638895586e-01,3.9114287178134515e-10,-3.4488463104246154e-09,0.0000000000000000e+00,5.6665477591745792e-03,8.3205818522022676e-02,7.3031148967319104e-01,3.6270889180343829e+01,6.5339612891222771e+01
3.5000000000000003e-02,7.3673895466889294e-01,4.2682716374727100e-10,-3.3292065243651001e-09,0.0000000000000000e+00,5.6592535604300890e-03,8.9959709908628435e-02,7.3785388484916115e-01,3.9060957578831818e+01,6.6014416982407269e+01
3.7499999999999999e-02,7.4426995294882992e-01,4.6251145571319679e-10,-3.2095667383055839e-09,0.0000000000000000e+00,5.6519593616855979e-03,9.6713601295234181e-02,7.4539628002513114e-01,4.1851025977319800e+01,6.6689221073591753e+01
4.0000000000000001e-02,7.5180095122876711e-01,4.9819574767912258e-10,-3.0899269522460689e-09,0.0000000000000000e+00,5.6446651629411069e-03,1.0346749268183994e-01,7.5293867520110136e-01,4.4641094375807789e+01,6.7364025164776265e+01
4.2500000000000003e-02,7.5925155393141952e-01,5.3018756817657530e-10,-2.9681254992636657e-09,0.0000000000000000e+00,5.6371467414413033e-03,1.1022593391659696e-01,7.6040055313463673e-01,4.7431162774295785e+01,6.8031625527789771e+01
4.4999999999999998e-02,7.6561372420314155e-01,5.1218900571624016e-10,-2.8170584017867909e-09,0.0000000000000000e+00,5.6265926887926389e-03,1.1704597309555578e-01,7.6677235147828715e-01,5.0221231172783767e+01,6.8601698494026905e+01
4.7500000000000001e-02,7.7197589447486359e-01,4.9419044325590492e-10,-2.6659913043099152e-09,0.0000000000000000e+00,5.6160386361439755e-03,1.2386601227451460e-01,7.7314414982193747e-01,5.3011299571271756e+01,6.9171771460264026e+01
5.0000000000000003e-02,7.7833806474658562e-01,4.7619188079556979e-10,-2.5149242068330399e-09,0.0000000000000000e+00,5.6054845834953120e-03,1.3068605145347345e-01,7.7951594816558778e-01,5.5801367969759745e+01,6.9741844426501146e+01
5.2499999999999998e-02,7.8470023501830766e-01,4.5819331833523465e-10,-2.3638571093561651e-09,0.0000000000000000e+00,5.5949305308466476e-03,1.3750609063243224e-01,7.8588774650923821e-01,5.8591436368247720e+01,7.0311917392738266e+01
5.5000000000000000e-02,7.8985889959829059e-01,4.8494842694027494e-10,-2.2178495144546760e-09,0.0000000000000000e+00,5.5817935495551590e-03,1.4427962010813986e-01,7.9105421785821795e-01,6.1381504766735709e+01,7.0774151990891724e+01
5.7500000000000002e-02,7.9478143331470430e-01,5.2048431910877644e-10,-2.0728346067673457e-09,0.0000000000000000e+00,5.5681497911248892e-03,1.5104402426232347e-01,7.9598420099938250e-01,6.4171573165223691e+01,7.1215228428218609e+01
5.9999999999999998e-02,7.9970396703111812e-01,5.5602021127727793e-10,-1.9278196990800155e-09,0.0000000000000000e+00,5.5545060326946186e-03,1.5780842841650708e-01,8.0091418414054716e-01,6.6961641563711680e+01,7.1656304865545508e+01
6.2500000000000000e-02,8.0462650074753184e-01,5.9155610344577942e-10,-1.7828047913926848e-09,0.0000000000000000e+00,5.5408622742643479e-03,1.6457283257069069e-01,8.0584416728171171e-01,6.9751709962199669e+01,7.2097381302872407e+01
6.5000000000000002e-02,8.0908706844982059e-01,5.3765912292988375e-10,-1.6375455965870293e-09,0.0000000000000000e+00,5.5270037197021511e-03,1.7133348878603685e-01,8.1031148530108488e-01,7.2541778360687658e+01,7.2497063950859285e+01
6.7500000000000004e-02,8.1324371114281668e-01,4.2492472617424003e-10,-1.4921256865719498e-09,0.0000000000000000e+00,5.5130038518952651e-03,1.7809167925214786e-01,8.1447441837191104e-01,7.5331846759175647e+01,7.2869513842701423e+01
7.0000000000000007e-02,8.1740035383581267e-01,3.1219032941859636e-10,-1.3467057765568704e-09,0.0000000000000000e+00,5.4990039840883791e-03,1.8484986971825884e-01,8.1863735144273708e-01,7.8121915157663636e+01,7.3241963734543560e+01
7.2499999999999995e-02,8.2155699652880865e-01,1.9945593266295334e-10,-1.2012858665417916e-09,0.0000000000000000e+00,5.4850041162814922e-03,1.9160806018436977e-01,8.2280028451356313e-01,8.0911983556151611e+01,7.3614413626385684e+01
