y_over_delta,y_plus,u_plus
8.9999999999999997e-02,1.0042367951592584e+02,7.5829415865057456e+01
9.2499999999999999e-02,1.0321322616914600e+02,7.6115306616545496e+01
9.5000000000000001e-02,1.0600277282236617e+02,7.6401197368033550e+01
9.7500000000000003e-02,1.0879231947558632e+02,7.6659131110412062e+01
1.0000000000000001e-01,1.1158186612880650e+02,7.6914122009726427e+01
1.0250000000000001e-01,1.1437141278202665e+02,7.7169112909040791e+01
1.0500000000000000e-01,1.1716095943524681e+02,7.7424103808355142e+01
1.0750000000000000e-01,1.1995050608846697e+02,7.7662782347388614e+01
1.1000000000000000e-01,1.2274005274168714e+02,7.7893497371954254e+01
1.1250000000000000e-01,1.2552959939490729e+02,7.8124212396519894e+01
1.1500000000000000e-01,1.2831914604812746e+02,7.8354927421085549e+01
1.1750000000000001e-01,1.3110869270134762e+02,7.8577018606745938e+01
1.2000000000000000e-01,1.3389823935456778e+02,7.8788096215009290e+01
1.2250000000000000e-01,1.3668778600778796e+02,7.8999173823272614e+01
1.2500000000000000e-01,1.3947733266100812e+02,7.9210251431535951e+01
1.2750000000000000e-01,1.4226687931422825e+02,7.9417791589153097e+01
1.3000000000000000e-01,1.4505642596744843e+02,7.9611726167361837e+01
1.3250000000000001e-01,1.4784597262066859e+02,7.9805660745570563e+01
1.3500000000000001e-01,1.5063551927388878e+02,7.9999595323779289e+01
1.3750000000000001e-01,1.5342506592710893e+02,8.0193529901988015e+01
1.4000000000000001e-01,1.5621461258032909e+02,8.0373634393376108e+01
1.4250000000000002e-01,1.5900415923354925e+02,8.0553363067187561e+01
1.4499999999999999e-01,1.6179370588676937e+02,8.0733091740999001e+01
1.4749999999999999e-01,1.6458325253998956e+02,8.0912820414810440e+01
1.4999999999999999e-01,1.6737279919320972e+02,8.1083257173554543e+01
1.5250000000000000e-01,1.7016234584642990e+02,8.1250441762025090e+01
1.5500000000000000e-01,1.7295189249965006e+02,8.1417626350495624e+01
1.5750000000000000e-01,1.7574143915287021e+02,8.1584810938966172e+01
1.6000000000000000e-01,1.7853098580609037e+02,8.1746658238034172e+01
1.6250000000000001e-01,1.8132053245931056e+02,8.1903335037993457e+01
1.6500000000000001e-01,1.8411007911253071e+02,8.2060011837952771e+01
1.6750000000000001e-01,1.8689962576575087e+02,8.2216688637912057e+01
1.7000000000000001e-01,1.8968917241897103e+02,8.2370709831270545e+01
1.7250000000000001e-01,1.9247871907219121e+02,8.2517734522623059e+01
1.7500000000000002e-01,1.9526826572541137e+02,8.2664759213975557e+01
1.7749999999999999e-01,1.9805781237863150e+02,8.2811783905328042e+01
1.7999999999999999e-01,2.0084735903185168e+02,8.2958459558246062e+01
1.8250000000000000e-01,2.0363690568507187e+02,8.3097238216583918e+01
1.8500000000000000e-01,2.0642645233829199e+02,8.3236016874921788e+01
1.8750000000000000e-01,2.0921599899151215e+02,8.3374795533259643e+01
1.9000000000000000e-01,2.1200554564473234e+02,8.3513574191597485e+01
1.9250000000000000e-01,2.1479509229795246e+02,8.3646083061371172e+01
1.9500000000000001e-01,2.1758463895117265e+02,8.3777116686776793e+01
1.9750000000000001e-01,2.2037418560439284e+02,8.3908150312182428e+01
2.0000000000000001e-01,2.2316373225761299e+02,8.4039183937588049e+01
2.0250000000000001e-01,2.2595327891083312e+02,8.4166453029557076e+01
2.0500000000000002e-01,2.2874282556405331e+02,8.4290959161205663e+01
2.0750000000000002e-01,2.3153237221727349e+02,8.4415465292854250e+01
2.0999999999999999e-01,2.3432191887049362e+02,8.4539971424502824e+01
2.1249999999999999e-01,2.3711146552371380e+02,8.4662326623834730e+01
2.1500000000000000e-01,2.3990101217693393e+02,8.4780578506131732e+01
2.1750000000000000e-01,2.4269055883015409e+02,8.4898830388428749e+01
2.2000000000000000e-01,2.4548010548337427e+02,8.5017082270725751e+01
2.2250000000000000e-01,2.4826965213659446e+02,8.5134728755360655e+01
2.2500000000000001e-01,2.5105919878981459e+02,8.5247532058698738e+01
2.2750000000000001e-01,2.5384874544303477e+02,8.5360335362036821e+01
2.3000000000000001e-01,2.5663829209625493e+02,8.5473138665374904e+01
2.3250000000000001e-01,2.5942783874947509e+02,8.5585941968712973e+01
2.3500000000000001e-01,2.6221738540269524e+02,8.5694261478470906e+01
2.3750000000000002e-01,2.6500693205591540e+02,8.5801959739720758e+01
2.3999999999999999e-01,2.6779647870913556e+02,8.5909658000970609e+01
2.4249999999999999e-01,2.7058602536235571e+02,8.6017356262220460e+01
2.4500000000000000e-01,2.7337557201557593e+02,8.6122028793043199e+01
2.4750000000000000e-01,2.7616511866879603e+02,8.6225039652237982e+01
2.5000000000000000e-01,2.7895466532201624e+02,8.6328050511432750e+01
2.5250000000000000e-01,2.8174421197523640e+02,8.6431061370627532e+01
2.5500000000000000e-01,2.8453375862845650e+02,8.6532302749467931e+01
2.5750000000000001e-01,2.8732330528167671e+02,8.6631026021650243e+01
2.6000000000000001e-01,2.9011285193489687e+02,8.6729749293832526e+01
2.6250000000000001e-01,2.9290239858811702e+02,8.6828472566014824e+01
2.6500000000000001e-01,2.9569194524133718e+02,8.6926474655810750e+01
2.6750000000000002e-01,2.9848149189455734e+02,8.7021189002374697e+01
2.7000000000000002e-01,3.0127103854777755e+02,8.7115903348938645e+01
2.7250000000000002e-01,3.0406058520099771e+02,8.7210617695502592e+01
2.7500000000000002e-01,3.0685013185421786e+02,8.7305332042066553e+01
2.7750000000000002e-01,3.0963967850743802e+02,8.7396599328499718e+01
2.8000000000000003e-01,3.1242922516065818e+02,8.7487674041741229e+01
2.8250000000000003e-01,3.1521877181387839e+02,8.7578748754982755e+01
2.8500000000000003e-01,3.1800831846709849e+02,8.7669823468224266e+01
2.8750000000000003e-01,3.2079786512031870e+02,8.7758377051178343e+01
2.8999999999999998e-01,3.2358741177353875e+02,8.7845922182017446e+01
2.9249999999999998e-01,3.2637695842675896e+02,8.7933467312856564e+01
2.9499999999999998e-01,3.2916650507997912e+02,8.8021012443695668e+01
2.9749999999999999e-01,3.3195605173319927e+02,8.8107056803891240e+01
2.9999999999999999e-01,3.3474559838641943e+02,8.8191484949547629e+01
3.0249999999999999e-01,3.3753514503963959e+02,8.8275913095204004e+01
3.0499999999999999e-01,3.4032469169285980e+02,8.8360341240860393e+01
3.0750000000000000e-01,3.4311423834607996e+02,8.8444004813455805e+01
3.1000000000000000e-01,3.4590378499930011e+02,8.8525358399356421e+01
3.1250000000000000e-01,3.4869333165252027e+02,8.8606711985257036e+01
3.1500000000000000e-01,3.5148287830574043e+02,8.8688065571157637e+01
3.1750000000000000e-01,3.5427242495896058e+02,8.8769373986083465e+01
3.2000000000000001e-01,3.5706197161218074e+02,8.8847881800572850e+01
3.2250000000000001e-01,3.5985151826540095e+02,8.8926389615062220e+01
3.2500000000000001e-01,3.6264106491862111e+02,8.9004897429551605e+01
3.2750000000000001e-01,3.6543061157184121e+02,8.9083405244040975e+01
3.3000000000000002e-01,3.6822015822506143e+02,8.9159882297536285e+01
3.3250000000000002e-01,3.7100970487828158e+02,8.9235796775350806e+01
3.3500000000000002e-01,3.7379925153150174e+02,8.9311711253165313e+01
3.3750000000000002e-01,3.7658879818472190e+02,8.9387625730979835e+01
3.4000000000000002e-01,3.7937834483794205e+02,8.9462122462563343e+01
3.4250000000000003e-01,3.8216789149116227e+02,8.9535460459246551e+01
3.4500000000000003e-01,3.8495743814438242e+02,8.9608798455929744e+01
3.4750000000000003e-01,3.8774698479760258e+02,8.9682136452612923e+01
3.5000000000000003e-01,3.9053653145082274e+02,8.9754695039368869e+01
3.5249999999999998e-01,3.9332607810404284e+02,8.9825577894781148e+01
3.5499999999999998e-01,3.9611562475726299e+02,8.9896460750193455e+01
3.5749999999999998e-01,3.9890517141048315e+02,8.9967343605605762e+01
3.5999999999999999e-01,4.0169471806370336e+02,9.0038041478930907e+01
3.6249999999999999e-01,4.0448426471692352e+02,9.0106739233439001e+01
3.6499999999999999e-01,4.0727381137014373e+02,9.0175436987947094e+01
3.6749999999999999e-01,4.1006335802336378e+02,9.0244134742455174e+01
3.7000000000000000e-01,4.1285290467658399e+02,9.0312832496963296e+01
3.7250000000000000e-01,4.1564245132980415e+02,9.0379721399059733e+01
3.7500000000000000e-01,4.1843199798302430e+02,9.0446295718128098e+01
3.7750000000000000e-01,4.2122154463624452e+02,9.0512870037196478e+01
3.8000000000000000e-01,4.2401109128946467e+02,9.0579444356264844e+01
3.8250000000000001e-01,4.2680063794268483e+02,9.0644687227724859e+01
3.8500000000000001e-01,4.2959018459590493e+02,9.0709110746810552e+01
3.8750000000000001e-01,4.3237973124912514e+02,9.0773534265896203e+01
3.9000000000000001e-01,4.3516927790234530e+02,9.0837957784981910e+01
3.9250000000000002e-01,4.3795882455556546e+02,9.0901632312525152e+01
3.9500000000000002e-01,4.4074837120878567e+02,9.0964116661727004e+01
3.9750000000000002e-01,4.4353791786200583e+02,9.1026601010928857e+01
