iter,dt,residual,res_u,res_k,res_w,U_bulk,tau_wall,u_max,k_min,k_max,omega_min,omega_max,nu_t_nu_max
110,1.6105100000000005e-03,2.1871607960704874e-03,1.6307244620469969e-03,2.1871607960704874e-03,1.2242366618687696e-04,1.5197624087725178e+01,8.7044926905538622e-01,2.0817820978243468e+01,1.0000000000000002e-10,7.7822853127891261e+00,1.2711233424555308e+01,3.5909221486508839e+04,1.2403893539744558e+02
120,1.6105100000000005e-03,1.8895718053175356e-03,1.4828701431644671e-03,1.8895718053175356e-03,1.0845395737201267e-04,1.5202221951106429e+01,9.0214574101778100e-01,2.0508865111000208e+01,1.0000000000000002e-10,7.7082455279880886e+00,1.3032368151122125e+01,3.5909221487031857e+04,1.2458460233610764e+02
130,1.6105100000000005e-03,1.7293004248013280e-03,1.3509042340177466e-03,1.7293004248013280e-03,9.6385416208282878e-05,1.5205620071640041e+01,9.2945251475582635e-01,2.0191633949723396e+01,1.0000000000000002e-10,7.6116555069562679e+00,1.3414973600619106e+01,3.5909221487005641e+04,1.2486616272004088e+02
140,1.6105100000000005e-03,1.7163070347591628e-03,1.2307012232896568e-03,1.7163070347591628e-03,8.5910314738143001e-05,1.5207981652523152e+01,9.5307551725976647e-01,1.9879436019928445e+01,1.0000000000000002e-10,7.4910263285446756e+00,1.3820360402743631e+01,3.5909221486855320e+04,1.2490587947376237e+02
150,1.6105100000000005e-03,1.7933989290498070e-03,1.1197050725489021e-03,1.7933989290498070e-03,7.6714541045124404e-05,1.5209446510421452e+01,9.7358703875888530e-01,1.9584850604118035e+01,1.0000000000000002e-10,7.3513631212046553e+00,1.4229021860828141e+01,3.5909221486931550e+04,1.2481703225603681e+02
160,1.6105100000000005e-03,1.9036738027837811e-03,1.0168126461398139e-03,1.9036738027837811e-03,6.8539232706942748e-05,1.5210132182679995e+01,9.9143612516981672e-01,1.9315744893221677e+01,1.0000000000000002e-10,7.1966154251400720e+00,1.4603635999038435e+01,3.5909221486637558e+04,1.2448250877813763e+02
170,1.6105100000000005e-03,2.0145875725226517e-03,9.2195890186977196e-04,2.0145875725226517e-03,6.1215465423707809e-05,1.5210140954361121e+01,1.0069880399121984e+00,1.9070053768659854e+01,1.0000000000000002e-10,7.0311804515608838e+00,1.4942287710540681e+01,3.5909221486616021e+04,1.2378132447616528e+02
180,1.6105100000000005e-03,2.1094754616796346e-03,8.3480853667824094e-04,2.1094754616796346e-03,5.4700421378223596e-05,1.5209560555457426e+01,1.0205298928318776e+00,1.8845910929614593e+01,1.0000000000000002e-10,6.8585958523077766e+00,1.5242141595674578e+01,3.5909221486817478e+04,1.2225287980072133e+02
190,1.6105100000000005e-03,2.1779695020555439e-03,7.5483664055185163e-04,2.1779695020555439e-03,4.8915484467197955e-05,1.5208466744807106e+01,1.0322995982210010e+00,1.8645522354065189e+01,1.0000000000000002e-10,6.6808772519196786e+00,1.5497697829792926e+01,3.5909221487156858e+04,1.2036723328876489e+02
200,1.6105100000000005e-03,2.2229464048380216e-03,6.8140934617471238e-04,2.2229464048380216e-03,4.3783848698236591e-05,1.5206927370207088e+01,1.0424909602052781e+00,1.8465392205285777e+01,1.0000000000000002e-10,6.5011251457893868e+00,1.5708695041835105e+01,3.5909221487396790e+04,1.1848653910272476e+02
