iter,dt,residual,res_u,res_k,res_w,U_bulk,tau_wall,u_max,k_min,k_max,omega_min,omega_max,nu_t_nu_max
1740,1.7715610000000007e-03,3.5892338396030694e-05,7.2599731659092576e-06,3.5892338396030694e-05,1.8205675848587911e-07,1.5233901737079142e+01,9.3528443333474542e-01,1.7210398599107275e+01,1.0000000000000002e-10,2.5979681562317456e+00,7.1537497476362724e+00,3.5909221483993664e+04,6.4772416597011144e+01
1750,1.7715610000000007e-03,3.5226144185826078e-05,7.2255049556368773e-06,3.5226144185826078e-05,1.7548373853047081e-07,1.5235046772032675e+01,9.3524534026069617e-01,1.7212891214026122e+01,1.0000000000000002e-10,2.5980221994416226e+00,7.1438452990811490e+00,3.5909221483992194e+04,6.4675483613797383e+01
1760,1.7715610000000007e-03,3.4587152247374937e-05,7.1911203069194181e-06,3.4587152247374937e-05,1.6958237642235141e-07,1.5236192442293390e+01,9.3520878505506777e-01,1.7215402848400462e+01,1.0000000000000002e-10,2.5980866077830771e+00,7.1341717734417402e+00,3.5909221483990776e+04,6.4572810802729819e+01
1770,1.7715610000000007e-03,3.3967001140639322e-05,7.1582467403803543e-06,3.3967001140639322e-05,1.6437908561057860e-07,1.5237338661008449e+01,9.3517465850375336e-01,1.7217937059888996e+01,1.0000000000000002e-10,2.5981637530457027e+00,7.1247004308691722e+00,3.5909221483989444e+04,6.4474711809787451e+01
1780,1.7715610000000007e-03,3.3359011252951462e-05,7.1258533670770848e-06,3.3359011252951462e-05,1.5955373781093161e-07,1.5238485356846164e+01,9.3514288523175504e-01,1.7220494910183760e+01,1.0000000000000002e-10,2.5982566337933819e+00,7.1154187174949417e+00,3.5909221483988185e+04,6.4373680808142595e+01
1790,1.7715610000000007e-03,3.2759048176598923e-05,7.0940183422557193e-06,3.2759048176598923e-05,1.5478207447830505e-07,1.5239632446847132e+01,9.3511344590226597e-01,1.7223074558718476e+01,1.0000000000000002e-10,2.5983675670990820e+00,7.1063158457462379e+00,3.5909221483987028e+04,6.4315269693542632e+01
1800,1.7715610000000007e-03,3.2165717497129799e-05,7.0627747382848436e-06,3.2165717497129799e-05,1.4991408757318667e-07,1.5240779876902343e+01,9.3508638624649010e-01,1.7225671975897857e+01,1.0000000000000002e-10,2.5984964272165465e+00,7.0974096470602417e+00,3.5909221483985923e+04,6.4284033774750242e+01
1810,1.7715610000000007e-03,3.1579704963991307e-05,7.0321696182684306e-06,3.1579704963991307e-05,1.4512560405042325e-07,1.5241927641667646e+01,9.3506187048794720e-01,1.7228281065894137e+01,1.0000000000000002e-10,2.5986399895445920e+00,7.0887172467395434e+00,3.5909221483984889e+04,6.4246426072764692e+01
1820,1.7715610000000007e-03,3.1003045202836145e-05,7.0019931420288109e-06,3.1003045202836145e-05,1.4055947477691586e-07,1.5243075791135565e+01,9.3504000013924837e-01,1.7230895295351498e+01,1.0000000000000002e-10,2.5987925046151266e+00,7.0802033881306006e+00,3.5909221483983936e+04,6.4201665620746894e+01
1830,1.7715610000000007e-03,3.0439056474940970e-05,6.9732420957644128e-06,3.0439056474940970e-05,1.3650308883338260e-07,1.5244224215020726e+01,9.3502090662282400e-01,1.7233507774957992e+01,1.0000000000000002e-10,2.5989483172921295e+00,7.0718614173976828e+00,3.5909221483983078e+04,6.4149444936801785e+01
1840,1.7715610000000007e-03,2.9890753753104000e-05,6.9457549089705642e-06,2.9890753753104000e-05,1.3288996068901014e-07,1.5245372921144588e+01,9.3500463217212260e-01,1.7236111860544661e+01,1.0000000000000002e-10,2.5991036680757347e+00,7.0636773739733414e+00,3.5909221483982299e+04,6.4092145154474295e+01
1850,1.7715610000000007e-03,2.9360549396246023e-05,6.9196056647698445e-06,2.9360549396246023e-05,1.2965393493656243e-07,1.5246521913683232e+01,9.3499112119393013e-01,1.7238701108398896e+01,1.0000000000000002e-10,2.5992577999637838e+00,7.0556964916589067e+00,3.5909221483981622e+04,6.4030842791898678e+01
1860,1.7715610000000007e-03,2.8850670684336982e-05,6.8944851052412734e-06,2.8850670684336982e-05,1.2665827368806514e-07,1.5247671192311456e+01,9.3498025297910914e-01,1.7241269719293644e+01,1.0000000000000002e-10,2.5994121663676064e+00,7.0479190937774945e+00,3.5909221483981011e+04,6.3972704335351843e+01
1870,1.7715610000000007e-03,2.8362972645351454e-05,6.8705937429727473e-06,2.8362972645351454e-05,1.2388299347817593e-07,1.5248820699030098e+01,9.3497193974036796e-01,1.7243812327506188e+01,1.0000000000000002e-10,2.5995696741012053e+00,7.0402801375798116e+00,3.5909221483980400e+04,6.3915256282289683e+01
1880,1.7715610000000007e-03,2.7898771266781092e-05,6.8478142911361370e-06,2.7898771266781092e-05,1.2127823989064493e-07,1.5249970420027466e+01,9.3496608861333286e-01,1.7246324818566407e+01,1.0000000000000002e-10,2.5997326988135976e+00,7.0328141436979816e+00,3.5909221483979723e+04,6.3858459334065941e+01
1890,1.7715610000000007e-03,2.7458306707162533e-05,6.8255299693064302e-06,2.7458306707162533e-05,1.1898824176677771e-07,1.5251120294730645e+01,9.3496263853152972e-01,1.7248804362962016e+01,1.0000000000000002e-10,2.5999012733792650e+00,7.0254807833628110e+00,3.5909221483978938e+04,6.3802728926098986e+01
1900,1.7715610000000007e-03,2.7040799585323474e-05,6.8035405505743130e-06,2.7040799585323474e-05,1.1709611567600087e-07,1.5252270253388325e+01,9.3496156252372853e-01,1.7251249874528320e+01,1.0000000000000002e-10,2.6000725757301688e+00,7.0183507916482917e+00,3.5909221483977977e+04,6.3748564008029312e+01
1910,1.7715610000000007e-03,2.6643701681504871e-05,6.7817405314435272e-06,2.6643701681504871e-05,1.1605200250175743e-07,1.5253420226424307e+01,9.3496284501082594e-01,1.7253661933393843e+01,1.0000000000000002e-10,2.6002423662365075e+00,7.0114042683105779e+00,3.5909221483976820e+04,6.3695255010069502e+01
1920,1.7715610000000007e-03,2.6262772006293745e-05,6.7603528115560184e-06,2.6262772006293745e-05,1.1558494440058893e-07,1.5254570158465217e+01,9.3496646406433626e-01,1.7256042493376526e+01,1.0000000000000002e-10,2.6004066441468883e+00,7.0045832817904339e+00,3.5909221483975467e+04,6.3643394064010209e+01
1930,1.7715610000000007e-03,2.5894241336770870e-05,6.7400068598429658e-06,2.5894241336770870e-05,1.1532154892359748e-07,1.5255719943176205e+01,9.3497238361185120e-01,1.7258393381929562e+01,1.0000000000000002e-10,2.6005632890560921e+00,6.9978949449891088e+00,3.5909221483973961e+04,6.3592050263069225e+01
1940,1.7715610000000007e-03,2.5534584267245228e-05,6.7213968108149963e-06,2.5534584267245228e-05,1.1507471502577535e-07,1.5256869565114751e+01,9.3498052374901552e-01,1.7260716831965169e+01,1.0000000000000002e-10,2.6007136828964952e+00,6.9913835479743494e+00,3.5909221483972331e+04,6.3542069025888530e+01
1950,1.7715610000000007e-03,2.5180515426443316e-05,6.7048203173471392e-06,2.5180515426443316e-05,1.1521731944456353e-07,1.5258019020638672e+01,9.3499082732500871e-01,1.7263013253746191e+01,1.0000000000000002e-10,2.6008628255550015e+00,6.9850469930597399e+00,3.5909221483970585e+04,6.3493018856636432e+01
1960,1.7715610000000007e-03,2.4829755228554122e-05,6.6900590037889597e-06,2.4829755228554122e-05,1.1613609615829080e-07,1.5259168283172238e+01,9.3500324311049199e-01,1.7265282170320329e+01,1.0000000000000002e-10,2.6010173364116498e+00,6.9788727205472796e+00,3.5909221483968708e+04,6.3445252148854067e+01
1970,1.7715610000000007e-03,2.4482369412692395e-05,6.6763577744074445e-06,2.4482369412692395e-05,1.1757550728375067e-07,1.5260317323959773e+01,9.3501775056046965e-01,1.7267522400537011e+01,1.0000000000000002e-10,2.6011826457242204e+00,6.9727956086415599e+00,3.5909221483966670e+04,6.3402441858417035e+01
1980,1.7715610000000007e-03,2.4140817880283592e-05,6.6632942912861421e-06,2.4140817880283592e-05,1.1904862171196982e-07,1.5261466134820754e+01,9.3503435663155898e-01,1.7269733326552942e+01,1.0000000000000002e-10,2.6013611678537103e+00,6.9668790036283497e+00,3.5909221483964458e+04,6.3361633437371381e+01
1990,1.7715610000000007e-03,2.3809735819730076e-05,6.6508818728636971e-06,2.3809735819730076e-05,1.2049559830291724e-07,1.5262614709886531e+01,9.3505308284174227e-01,1.7271916098921707e+01,1.0000000000000002e-10,2.6015513755871260e+00,6.9611280807879563e+00,3.5909221483962036e+04,6.3321572525608019e+01
2000,1.7715610000000007e-03,2.3495133992438779e-05,6.6391446742932146e-06,2.3495133992438779e-05,1.2234814825286889e-07,1.5263763030582822e+01,9.3507395154203410e-01,1.7274077374049405e+01,1.0000000000000002e-10,2.6017482961575302e+00,6.9555204009045557e+00,3.5909221483959402e+04,6.3282784091729212e+01
2010,1.7715610000000007e-03,2.3202766419178785e-05,6.6279694831071626e-06,2.3202766419178785e-05,1.2502254012422899e-07,1.5264911057945689e+01,9.3509694154864664e-01,1.7276227146814982e+01,1.0000000000000002e-10,2.6019459767839028e+00,6.9500265817132316e+00,3.5909221483956579e+04,6.3244402177551649e+01
2020,1.7715610000000007e-03,2.2936927354044692e-05,6.6171051095275393e-06,2.2936927354044692e-05,1.2845162967919056e-07,1.5266058730268684e+01,9.3512197165229083e-01,1.7278359132261770e+01,1.0000000000000002e-10,2.6021405070661672e+00,6.9446683936484810e+00,3.5909221483953646e+04,6.3206797998833956e+01
2030,1.7715610000000007e-03,2.2700185079732667e-05,6.6065656135267097e-06,2.2700185079732667e-05,1.3197292881816762e-07,1.5267205966905387e+01,9.3514890116395211e-01,1.7280482014021757e+01,1.0000000000000002e-10,2.6023317400252459e+00,6.9394289893964558e+00,3.5909221483950649e+04,6.3170298786485901e+01
2040,1.7715610000000007e-03,2.2492287412756247e-05,6.5965947692613042e-06,2.2492287412756247e-05,1.3512647129966321e-07,1.5268352677414427e+01,9.3517756548351016e-01,1.7282609117900911e+01,1.0000000000000002e-10,2.6025238716825925e+00,6.9343371661453350e+00,3.5909221483947651e+04,6.3135104770847370e+01
2050,1.7715610000000007e-03,2.2309192703860033e-05,6.5868153299923002e-06,2.2309192703860033e-05,1.3759085877162030e-07,1.5269498786614866e+01,9.3520783033467725e-01,1.7284755065302480e+01,1.0000000000000002e-10,2.6027242759141069e+00,6.9293763601044454e+00,3.5909221483944704e+04,6.3096529455071924e+01
2060,1.7715610000000007e-03,2.2144247970116734e-05,6.5781550798658745e-06,2.2144247970116734e-05,1.3955293209835124e-07,1.5270644222711494e+01,9.3523957963407101e-01,1.7286913054506549e+01,1.0000000000000002e-10,2.6029404383867520e+00,6.9245347734034777e+00,3.5909221483941801e+04,6.3054018262506091e+01
2070,1.7715610000000007e-03,2.1989686977789819e-05,6.5696417376544522e-06,2.1989686977789819e-05,1.4109807255488883e-07,1.5271788933421719e+01,9.3527284625573959e-01,1.7289081088274614e+01,1.0000000000000002e-10,2.6031770036997104e+00,6.9198063180816716e+00,3.5909221483938942e+04,6.3008231487088942e+01
2080,1.7715610000000007e-03,2.1839659809810259e-05,6.5615345662661073e-06,2.1839659809810259e-05,1.4259853083156320e-07,1.5272932917778746e+01,9.3530774409814255e-01,1.7291255188591812e+01,1.0000000000000002e-10,2.6034344002758854e+00,6.9152042794426656e+00,3.5909221483936126e+04,6.2959943435807638e+01
2090,1.7715610000000007e-03,2.1690303822695952e-05,6.5540917191962285e-06,2.1690303822695952e-05,1.4468780286905424e-07,1.5274076193870473e+01,9.3534441144940539e-01,1.7293430516243301e+01,1.0000000000000002e-10,2.6037080928403018e+00,6.9107398067914474e+00,3.5909221483933354e+04,6.2910001538290352e+01
2100,1.7715610000000007e-03,2.1539230412029529e-05,6.5472152005916151e-06,2.1539230412029529e-05,1.4781606984166000e-07,1.5275218799773512e+01,9.3538297018646055e-01,1.7295602879822582e+01,1.0000000000000002e-10,2.6039902289030712e+00,6.9063933752644537e+00,3.5909221483930640e+04,6.2888616748337192e+01
2110,1.7715610000000007e-03,2.1386103925975615e-05,6.5415513441307462e-06,2.1386103925975615e-05,1.5168854918177558e-07,1.5276360750921349e+01,9.3542347026568196e-01,1.7297769124690426e+01,1.0000000000000002e-10,2.6042729446544364e+00,6.9021521757128834e+00,3.5909221483928020e+04,6.2877073389272731e+01
2120,1.7715610000000007e-03,2.1233367575397516e-05,6.5345478767595246e-06,2.1233367575397516e-05,1.5571670132199745e-07,1.5277502016046784e+01,9.3546587399595293e-01,1.7299927574196911e+01,1.0000000000000002e-10,2.6045513466060641e+00,6.8980083646461532e+00,3.5909221483925539e+04,6.2862075753000795e+01
2130,1.7715610000000007e-03,2.1084790818581993e-05,6.5289344526366913e-06,2.1084790818581993e-05,1.5936768376172661e-07,1.5278642603924862e+01,9.3551004408469107e-01,1.7302077437809594e+01,1.0000000000000002e-10,2.6048250622830218e+00,6.8939937076292406e+00,3.5909221483923182e+04,6.2843244500061324e+01
2140,1.7715610000000007e-03,2.0943441491049488e-05,6.5249772534548632e-06,2.0943441491049488e-05,1.6256632400627356e-07,1.5279782448833741e+01,9.3555578479370771e-01,1.7304218342260693e+01,1.0000000000000002e-10,2.6050978492346197e+00,6.8901059841801153e+00,3.5909221483920948e+04,6.2820429268426629e+01
2150,1.7715610000000007e-03,2.0811046005343348e-05,6.5224348233356099e-06,2.0811046005343348e-05,1.6542687909368613e-07,1.5280921471732482e+01,9.3560292218796959e-01,1.7306349643992107e+01,1.0000000000000002e-10,2.6053754052890596e+00,6.8863274603290439e+00,3.5909221483918736e+04,6.2796361139946953e+01
2160,1.7715610000000007e-03,2.0688462357987595e-05,6.5204825683396585e-06,2.0688462357987595e-05,1.6821791093322657e-07,1.5282059595881222e+01,9.3565135726396342e-01,1.7308470406991042e+01,1.0000000000000002e-10,2.6056622145600867e+00,6.8826234421953245e+00,3.5909221483916532e+04,6.2769023659476247e+01
2170,1.7715610000000007e-03,2.0576228019968793e-05,6.5179824061084584e-06,2.0576228019968793e-05,1.7151967704710425e-07,1.5283196757993087e+01,9.3570109619564523e-01,1.7310579450979741e+01,1.0000000000000002e-10,2.6059589890017181e+00,6.8790367285733263e+00,3.5909221483914254e+04,6.2743252724639099e+01
2180,1.7715610000000007e-03,2.0474036746270005e-05,6.5138695880765775e-06,2.0474036746270005e-05,1.7569584100658888e-07,1.5284332916692543e+01,9.3575224319405625e-01,1.7312675431368312e+01,1.0000000000000002e-10,2.6062619078710458e+00,6.8755742146648871e+00,3.5909221483911882e+04,6.2718306280533454e+01
2190,1.7715610000000007e-03,2.0380521832777843e-05,6.5076071884289167e-06,2.0380521832777843e-05,1.8059751469891264e-07,1.5285468055075413e+01,9.3580494280673654e-01,1.7314757007854713e+01,1.0000000000000002e-10,2.6065640187824735e+00,6.8721957914723912e+00,3.5909221483909430e+04,6.2693779354886061e+01
2200,1.7715610000000007e-03,2.0294344919292410e-05,6.4997337948064891e-06,2.0294344919292410e-05,1.8528150892924135e-07,1.5286602177669931e+01,9.3585932668805116e-01,1.7316822638964037e+01,1.0000000000000002e-10,2.6068584410323350e+00,6.8689259089003620e+00,3.5909221483906935e+04,6.2669735991802241e+01
2210,1.7715610000000007e-03,2.0215647277919447e-05,6.4921170358331316e-06,2.0215647277919447e-05,1.8886635141546635e-07,1.5287735303292543e+01,9.3591546260260816e-01,1.7318869986568703e+01,1.0000000000000002e-10,2.6071416073818838e+00,6.8657222603952315e+00,3.5909221483904461e+04,6.2646642380847922e+01
2220,1.7715610000000007e-03,2.0145713131708278e-05,6.4862843440306838e-06,2.0145713131708278e-05,1.9141872932640621e-07,1.5288867496643807e+01,9.3597336728897607e-01,1.7320895785171899e+01,1.0000000000000002e-10,2.6074148547883333e+00,6.8626301382098074e+00,3.5909221483902023e+04,6.2624053588243299e+01
2230,1.7715610000000007e-03,2.0081826613028399e-05,6.4864244184158573e-06,2.0081826613028399e-05,1.9357315259330267e-07,1.5289998794914018e+01,9.3603291878253092e-01,1.7322895804974930e+01,1.0000000000000002e-10,2.6076837758033160e+00,6.8596473026544302e+00,3.5909221483899630e+04,6.2602310477993640e+01
2240,1.7715610000000007e-03,2.0020081954081987e-05,6.4898036137414177e-06,2.0020081954081987e-05,1.9583143085540293e-07,1.5291129171756204e+01,9.3609399969351681e-01,1.7324873096651430e+01,1.0000000000000002e-10,2.6079561831995255e+00,6.8567718205803541e+00,3.5909221483897229e+04,6.2580990481203393e+01
2250,1.7715610000000007e-03,1.9956573145980004e-05,6.4953410220776825e-06,1.9956573145980004e-05,1.9860233368799757e-07,1.5292258616566615e+01,9.3615652142597416e-01,1.7326834643616941e+01,1.0000000000000002e-10,2.6082388563644416e+00,6.8539600995239063e+00,3.5909221483894740e+04,6.2560048542198246e+01
2260,1.7715610000000007e-03,1.9888711411747816e-05,6.5014844057025101e-06,1.9888711411747816e-05,2.0199781309365949e-07,1.5293387098750783e+01,9.3622039327974194e-01,1.7328761241886610e+01,1.0000000000000002e-10,2.6085335694757781e+00,6.8512295093683520e+00,3.5909221483892070e+04,6.2540021208761246e+01
2270,1.7715610000000007e-03,1.9815470892977544e-05,6.5063429343660757e-06,1.9815470892977544e-05,2.0643122992836144e-07,1.5294514567757666e+01,9.3628555678589809e-01,1.7330652666992073e+01,1.0000000000000002e-10,2.6088356949451725e+00,6.8486039432618870e+00,3.5909221483889181e+04,6.2520412550518856e+01
2280,1.7715610000000007e-03,1.9735729204940923e-05,6.5079215210928674e-06,1.9735729204940923e-05,2.1209518898571550e-07,1.5295640952827657e+01,9.3635197443492657e-01,1.7332512273361477e+01,1.0000000000000002e-10,2.6091365863212297e+00,6.8460858276034688e+00,3.5909221483886045e+04,6.2501561454603113e+01
2290,1.7715610000000007e-03,1.9649180867591210e-05,6.5051149643740170e-06,1.9649180867591210e-05,2.1823115523091428e-07,1.5296766165233553e+01,9.3641959239804684e-01,1.7334347190411801e+01,1.0000000000000002e-10,2.6094278746555251e+00,6.8436513055490114e+00,3.5909221483882713e+04,6.2483065250921861e+01
2300,1.7715610000000007e-03,1.9559782529024970e-05,6.4987046453475088e-06,1.9559782529024970e-05,2.2341306506168818e-07,1.5297890106733741e+01,9.3648832186860809e-01,1.7336167018519106e+01,1.0000000000000002e-10,2.6097051985151660e+00,6.8412769602614665e+00,3.5909221483879272e+04,6.2464935414295240e+01
2310,1.7715610000000007e-03,1.9476499750302923e-05,6.4915059413952288e-06,1.9476499750302923e-05,2.2654793677322891e-07,1.5299012684092856e+01,9.3655804573910950e-01,1.7337981564020485e+01,1.0000000000000002e-10,2.6099704825933450e+00,6.8389862296822237e+00,3.5909221483875823e+04,6.2447523587781241e+01
2320,1.7715610000000007e-03,1.9407902501588818e-05,6.4865583345911787e-06,1.9407902501588818e-05,2.2766243950211236e-07,1.5300133826639870e+01,9.3662865259343053e-01,1.7339798370793797e+01,1.0000000000000002e-10,2.6102324976139042e+00,6.8367803529739772e+00,3.5909221483872432e+04,6.2431638918448876e+01
2330,1.7715610000000007e-03,1.9356922579720677e-05,6.4849471673638134e-06,1.9356922579720677e-05,2.2787727839807131e-07,1.5301253501875950e+01,9.3670008537034766e-01,1.7341620870617334e+01,1.0000000000000002e-10,2.6105038803122542e+00,6.8346589565149358e+00,3.5909221483869143e+04,6.2418039925972352e+01
2340,1.7715610000000007e-03,1.9321136874622991e-05,6.4858517820194189e-06,1.9321136874622991e-05,2.2811381863732202e-07,1.5302371723425566e+01,9.3677238476767732e-01,1.7343447647000481e+01,1.0000000000000002e-10,2.6107958985233273e+00,6.8325990918642212e+00,3.5909221483865920e+04,6.2404854020919331e+01
2350,1.7715610000000007e-03,1.9295821596398056e-05,6.4880139058770835e-06,1.9295821596398056e-05,2.2875396547701935e-07,1.5303488547205788e+01,9.3684569363168546e-01,1.7345273112959873e+01,1.0000000000000002e-10,2.6111142973838066e+00,6.8306147086965208e+00,3.5909221483862733e+04,6.2392521054593431e+01
2360,1.7715610000000007e-03,1.9276037690625299e-05,6.4908829639727294e-06,1.9276037690625299e-05,2.3013927388395385e-07,1.5304604055944385e+01,9.3692022039255962e-01,1.7347089851431992e+01,1.0000000000000002e-10,2.6114565919270580e+00,6.8286952815030428e+00,3.5909221483859532e+04,6.2377937555504630e+01
2370,1.7715610000000007e-03,1.9256868498532179e-05,6.4941276851401117e-06,1.9256868498532179e-05,2.3265261364450232e-07,1.5305718333851370e+01,9.3699616190989798e-01,1.7348891242837436e+01,1.0000000000000002e-10,2.6118124460201284e+00,6.8268602286267708e+00,3.5909221483856301e+04,6.2361214983669527e+01
2380,1.7715610000000007e-03,1.9233473843335619e-05,6.4970605635543231e-06,1.9233473843335619e-05,2.3666809985305368e-07,1.5306831439153450e+01,9.3707362025882923e-01,1.7350673983903384e+01,1.0000000000000002e-10,2.6121680070778761e+00,6.8251075611534642e+00,3.5909221483853042e+04,6.2342700410206874e+01
2390,1.7715610000000007e-03,1.9203645138121546e-05,6.4989593670351498e-06,1.9203645138121546e-05,2.4169370142439889e-07,1.5307943382135834e+01,9.3715254212683508e-01,1.7352439328178800e+01,1.0000000000000002e-10,2.6125116402133224e+00,6.8234137820985863e+00,3.5909221483849833e+04,6.2322813644909033e+01
2400,1.7715610000000007e-03,1.9170174961365275e-05,6.4999802417590620e-06,1.9170174961365275e-05,2.4667030334760608e-07,1.5309054114892728e+01,9.3723271298249911e-01,1.7354192694882613e+01,1.0000000000000002e-10,2.6128383685803414e+00,6.8217737296536605e+00,3.5909221483846675e+04,6.2302026694081292e+01
2410,1.7715610000000007e-03,1.9138074667391179e-05,6.5012091555651785e-06,1.9138074667391179e-05,2.5071057029010275e-07,1.5310163537219351e+01,9.3731380927109209e-01,1.7355942070859928e+01,1.0000000000000002e-10,2.6131518047400020e+00,6.8202058494286621e+00,3.5909221483843627e+04,6.2300489999938002e+01
2420,1.7715610000000007e-03,1.9109474165264882e-05,6.5031558505637822e-06,1.9109474165264882e-05,2.5345450897853633e-07,1.5311271518391681e+01,9.3739549629350227e-01,1.7357695557573550e+01,1.0000000000000002e-10,2.6134624602738992e+00,6.8187145130900113e+00,3.5909221483840665e+04,6.2300349116602597e+01
2430,1.7715610000000007e-03,1.9082902270143173e-05,6.5050678788626136e-06,1.9082902270143173e-05,2.5508289350352582e-07,1.5312377928826493e+01,9.3747754527667537e-01,1.7359458922616845e+01,1.0000000000000002e-10,2.6137826953699301e+00,6.8172977558008316e+00,3.5909221483837762e+04,6.2298285807937063e+01
2440,1.7715610000000007e-03,1.9056108173903437e-05,6.5057427350868979e-06,1.9056108173903437e-05,2.5606057276719516e-07,1.5313482671646891e+01,9.3755990615212503e-01,1.7361234109012535e+01,1.0000000000000002e-10,2.6141213645572399e+00,6.8159286599054720e+00,3.5909221483834852e+04,6.2294108980741036e+01
2450,1.7715610000000007e-03,1.9027917730297991e-05,6.5044939430540253e-06,1.9027917730297991e-05,2.5731490614989797e-07,1.5314585704637784e+01,9.3764272782998082e-01,1.7363018862302074e+01,1.0000000000000002e-10,2.6144802015823623e+00,6.8146079015299588e+00,3.5909221483831905e+04,6.2288775412323545e+01
2460,1.7715610000000007e-03,1.8997204514475092e-05,6.5013854349070093e-06,1.8997204514475092e-05,2.5962480248112969e-07,1.5315687046176627e+01,9.3772630027550041e-01,1.7364807734186339e+01,1.0000000000000002e-10,2.6148528557874324e+00,6.8133597731589104e+00,3.5909221483828922e+04,6.2281826996447251e+01
2470,1.7715610000000007e-03,1.8961925078139705e-05,6.4967731322016935e-06,1.8961925078139705e-05,2.6301753905060445e-07,1.5316786765275882e+01,9.3781095580062401e-01,1.7366593451412552e+01,1.0000000000000002e-10,2.6152277488627784e+00,6.8121869250594038e+00,3.5909221483825953e+04,6.2273391027755004e+01
2480,1.7715610000000007e-03,1.8921968553651748e-05,6.4917071096221587e-06,1.8921968553651748e-05,2.6657816878487679e-07,1.5317884958621375e+01,9.3789694669769452e-01,1.7368368378597246e+01,1.0000000000000002e-10,2.6155933793231494e+00,6.8110720988841855e+00,3.5909221483823057e+04,6.2265345117951597e+01
2490,1.7715610000000007e-03,1.8881957556575828e-05,6.4885636871733505e-06,1.8881957556575828e-05,2.6936158678919453e-07,1.5318981721017687e+01,9.3798435842289496e-01,1.7370125582074365e+01,1.0000000000000002e-10,2.6159433355444643e+00,6.8100072489398737e+00,3.5909221483820293e+04,6.2258171395632154e+01
2500,1.7715610000000007e-03,1.8848979132140532e-05,6.4903099687975367e-06,1.8848979132140532e-05,2.7107679829632960e-07,1.5320077119632510e+01,9.3807308726582983e-01,1.7371859528490525e+01,1.0000000000000002e-10,2.6162786671541260e+00,6.8089611380421697e+00,3.5909221483817688e+04,6.2251196050813107e+01
2510,1.7715610000000007e-03,1.8827481668514584e-05,6.4983848527085727e-06,1.8827481668514584e-05,2.7237567549863669e-07,1.5321171177240993e+01,9.3816288661611968e-01,1.7373566174057157e+01,1.0000000000000002e-10,2.6166067815347653e+00,6.8079967385010125e+00,3.5909221483815199e+04,6.2244559387021056e+01
2520,1.7715610000000007e-03,1.8816766170519861e-05,6.5117752027228500e-06,1.8816766170519861e-05,2.7384269746055882e-07,1.5322263867417094e+01,9.3825345775130298e-01,1.7375243173015786e+01,1.0000000000000002e-10,2.6169379875017120e+00,6.8070953084352759e+00,3.5909221483812726e+04,6.2238179455053867e+01
2530,1.7715610000000007e-03,1.8813012561577291e-05,6.5272137182427266e-06,1.8813012561577291e-05,2.7601893633299069e-07,1.5323355120961736e+01,9.3834454795388655e-01,1.7376890388065597e+01,1.0000000000000002e-10,2.6172803594426002e+00,6.8062553944550022e+00,3.5909221483810121e+04,6.2232169329300284e+01
2540,1.7715610000000007e-03,1.8811074927850139e-05,6.5401733901936850e-06,1.8811074927850139e-05,2.7970814985990400e-07,1.5324444839927187e+01,9.3843601775784302e-01,1.7378510312924256e+01,1.0000000000000002e-10,2.6176350227136953e+00,6.8054367964630202e+00,3.5909221483807276e+04,6.2226392763253266e+01
2550,1.7715610000000007e-03,1.8802179021845651e-05,6.5459953913754418e-06,1.8802179021845651e-05,2.8531045522272203e-07,1.5325532913991296e+01,9.3852785053199994e-01,1.7380108393759546e+01,1.0000000000000002e-10,2.6179951583237089e+00,6.8046736360454556e+00,3.5909221483804147e+04,6.2221051439026517e+01
2560,1.7715610000000007e-03,1.8774157572239172e-05,6.5413025708496386e-06,1.8774157572239172e-05,2.9218161181246445e-07,1.5326619238281788e+01,9.3862011825878355e-01,1.7381692772556267e+01,1.0000000000000002e-10,2.6183493530700024e+00,6.8039698941598790e+00,3.5909221483800764e+04,6.2215946216745664e+01
2570,1.7715610000000007e-03,1.8721342092876019e-05,6.5270025657663575e-06,1.8721342092876019e-05,2.9789454493445304e-07,1.5327703730597175e+01,9.3871292996056688e-01,1.7383272745113850e+01,1.0000000000000002e-10,2.6186872179190055e+00,6.8033248304285507e+00,3.5909221483797242e+04,6.2210942715443927e+01
2580,1.7715610000000007e-03,1.8653390534736290e-05,6.5095569690163126e-06,1.8653390534736290e-05,3.0041060202708651e-07,1.5328786344859900e+01,9.3880636517868821e-01,1.7384856470633668e+01,1.0000000000000002e-10,2.6190051476812219e+00,6.8027264806079764e+00,3.5909221483793743e+04,6.2206312393733171e+01
2590,1.7715610000000007e-03,1.8590123293904051e-05,6.4974856691085350e-06,1.8590123293904051e-05,2.9948424160864395e-07,1.5329867079719069e+01,9.3890045322632332e-01,1.7386448228736292e+01,1.0000000000000002e-10,2.6193091067831822e+00,6.8021562494941143e+00,3.5909221483790396e+04,6.2202049765693424e+01
2600,1.7715610000000007e-03,1.8546713844129127e-05,6.4954450730743034e-06,1.8546713844129127e-05,2.9730730389575684e-07,1.5330945981148730e+01,9.3899518961787876e-01,1.7388046620153027e+01,1.0000000000000002e-10,2.6196126877821877e+00,6.8016430677651032e+00,3.5909221483787274e+04,6.2198111766969944e+01
